ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover,final_score,score_debt_to_equity
RELIANCE,696480000000.0,8432000000000.0,1281380000000.0,14963840000000.0,9646930000000.0,6959630000000.0,607050000000.0,3695750000000.0,221210000000.0,1787030000000.0,1399670000000.0,19501210000000.0,0.0825996204933586,0.0856317629699328,0.0721970616558843,0.132827749346165,0.1149814923690808,0.04687475912111139,0.4383005218216318,5.792595271461507,2.5658023202389155,387360000000.0,0.0401537069305986,0.4946836632188464,2.1904761904761907,2.1904761904761907
TCS,485530000000.0,947560000000.0,661270000000.0,1066280000000.0,2553240000000.0,1917540000000.0,383270000000.0,93920000000.0,7960000000.0,489080000000.0,39370000000.0,1596290000000.0,0.5124002701675884,0.6201654349701767,0.1901623035828986,0.2589924958092462,0.1001428211494679,0.082024466052522,0.0991177339693528,83.07412060301507,1.0073115976355735,449710000000.0,0.176133070138334,1.599483803068365,3.2380952380952377,3.2380952380952377
HDFCBANK,673508300000.0,7676891400000.0,,15002997500000.0,2371508200000.0,1019413700000.0,386000400000.0,7326106100000.0,1823477000000.0,1195617400000.0,66397300000.0,48187671100000.0,0.0877319040881573,,0.2839999878558294,,0.3250269806448944,0.20388517319859578,0.9543063355044986,,1.77520811547534,1129220100000.0,0.4761611619137559,0.0492140032058947,1.1428571428571428,1.1428571428571428
INFY,3158000000.0,11205000000.0,4496000000.0,12407000000.0,19277000000.0,16311000000.0,2963000000.0,962000000.0,49000000.0,4351000000.0,263000000.0,17419000000.0,0.2818384649709951,0.3623760780204723,0.1638221714997146,0.2332313119261296,0.0572709184170099,0.0214728425629529,0.0858545292280232,91.75510204081633,1.3777707409753008,4088000000.0,0.2120661928723349,1.1066651357712842,3.333333333333334,3.333333333333334
ITC,347466300000.0,700300500000.0,269720000000.0,737565700000.0,746533200000.0,600813600000.0,152426600000.0,2848400000.0,450600000.0,176270400000.0,22787000000.0,880906800000.0,0.4961674309814144,0.3656894565460405,0.4654398491587514,0.3612967246466734,0.0750692927148013,0.31608511043335197,0.00406739678181,598.5796715490458,0.5073021469995795,153483400000.0,0.2055948750839212,0.8474599128988447,4.6190476190476195,4.6190476190476195
20MICRONS,623763000.0,4293638000.0,940218000.0,4952018000.0,9116589000.0,6114427000.0,345854000.0,1648262000.0,113241000.0,317862000.0,766800000.0,7145086000.0,0.1452761038541209,0.1898656264981266,0.0684206560150951,0.1031326519161936,0.1424193152594246,(0.21723828183511973+0j),0.3838847150132358,8.302805520968553,0.5095877761265096,-448938000.0,-0.0492440758270445,1.2759243205750077,2.3333333333333335,2.3333333333333335
21STCENMGM,123377000.0,510134000.0,195569000.0,512069000.0,163247000.0,99744000.0,146578000.0,,442000.0,51478000.0,,570650000.0,0.2418521408100616,0.3819192335407924,0.7557688655840537,1.1979944501277209,0.1784725638564201,(-0.05581925802362786+0j),,442.46380090497735,0.4172414631576387,,,0.2860720231315167,0.04761904761904745,0.04761904761904745
360ONE,10153000000.0,70647100000.0,22253000000.0,104385000000.0,26353100000.0,14946400000.0,5777400000.0,110255300000.0,8784800000.0,-24108700000.0,552400000.0,197687000000.0,0.1437143208992301,0.2131819705896441,0.3852677673594378,0.8444167858809779,0.2080874415970475,(0.20675928684243883+0j),1.5606486324279412,2.5331253984154447,-2.3745395449620803,-24661100000.0,-0.93579502980674,0.1333071977418849,0.6666666666666665,0.6666666666666665
3IINFOLTD,253500000.0,3068800000.0,184700000.0,3508400000.0,7257600000.0,6770100000.0,-574900000.0,635100000.0,68600000.0,282500000.0,21600000.0,5728200000.0,0.0826055787278415,0.0526450803785201,0.0349289021164021,0.0254491843033509,0.0234484712960969,(-0.6194323317279858+0.6591625371651465j),0.20695385818561,2.692419825072886,1.1143984220907297,260900000.0,0.0359485229276895,1.2669948674976432,3.0,3.0
3MINDIA,4760674000.0,18464969000.0,7842089000.0,19716359000.0,44428602000.0,33339389000.0,2719711000.0,995353000.0,108023000.0,3551044000.0,554202000.0,30145917000.0,0.2578219329802286,0.3977452936416911,0.1071533603510639,0.1765099203436561,0.1004449890136458,(0.20517069205092286+0j),0.0539049375062584,72.59647482480582,0.7459120284228662,2996842000.0,0.067452988955178,1.4737850568619293,3.5238095238095237,3.5238095238095237
3PLAND,20902000.0,1397045000.0,19258000.0,1533350000.0,36586000.0,17394000.0,11547000.0,,,11711000.0,,1534936000.0,0.0149615796198404,0.0125594287018619,0.5713114306018696,0.5263762094790357,0.2812635995534176,(0.21872641953333494+0j),,,0.5602813127930342,,,0.0238355214810259,0.04761904761904745,0.04761904761904745
5PAISA,682340000.0,6036420000.0,1094300000.0,6130600000.0,2291570000.0,2159730000.0,137360000.0,2174160000.0,182110000.0,979350000.0,80320000.0,16666280000.0,0.1130371975442398,0.1784980262943268,0.2977609237335102,0.4775328704774456,0.0199476673203198,(0.7062664431527712+0j),0.3601737453656306,6.009005546098512,1.4352815312014535,899030000.0,0.3923205487940582,0.1374973899394466,2.428571428571429,2.428571428571429
